-1.312,2.442,-3.824,1.224,2.739,-10.429,8.836,-6.748
5.516,13.912,1.165,9.707,14.585,-0.273,19.581,-3.132
8.537,21.663,4.685,13.887,22.909,7.648,28.253,0.641
6.624,24.582,6.159,15.485,26.573,12.148,32.008,1.968
2.852,24.628,6.293,15.405,27.062,15.465,31.609,2.172
0.582,24.469,7.639,13.492,26.141,18.246,29.591,2.881
2.16,26.37,11.205,13.583,25.355,20.195,28.111,3.046
7.242,30.175,14.425,18.172,25.365,21.209,27.914,3.689
13.819,34.097,16.899,23.064,25.508,22.743,28.002,5.885
18.021,33.957,16.335,22.55,22.179,22.457,25.294,7.123
18.617,28.65,11.743,17.975,14.779,18.073,19.623,4.643
20.668,23.707,9.294,15.982,8.733,13.954,15.374,0.498
27.807,23.771,14.78,20.4,8.109,15.507,14.975,1.662
33.679,24.807,20.985,26.268,8.981,18.613,15.509,6.773
28.037,18.513,15.072,22.821,3.645,12.837,11.443,5.023
11.647,5.042,0.751,8.193,-7.268,-0.588,1.82,-2.923
-5.467,-7.917,-10.243,-6.501,-16.014,-11.199,-7.424,-7.714
-16.976,-15.303,-14.785,-12.915,-18.943,-14.834,-11.48,-9.008
-21.036,-16.071,-14.022,-11.825,-16.957,-13.452,-10.042,-10.121
-17.523,-10.591,-9.085,-4.902,-10.063,-8.243,-3.512,-7.943
-11.938,-3.348,-3.522,4.009,-1.775,-2.471,4.254,-3.298
-11.684,-1.427,-2.587,5.849,0.855,-1.919,6.872,-5.017
-15.894,-4.094,-4.393,0.243,-0.059,-3.72,5.754,-8.702
-16.251,-3.17,-0.949,-2.321,3.64,0.114,8.221,-3.74
-11.185,1.834,6.842,-0.298,9.844,7.709,12.739,2.261
-7.287,4.53,11.189,0.86,11.659,11.88,12.534,0.077
-7.03,3.9,9.006,0.669,10.625,10.863,9.163,-2.745
-8.131,2.774,3.292,0.034,10.521,6.999,7.331,-0.112
-6.212,4.728,1.5,1.227,12.541,5.636,7.92,3.477
2.051,11.96,7.601,7.919,17.959,10.602,10.67,5.999
11.086,18.967,14.772,14.153,23.761,16.385,13.417,7.711
11.767,17.801,13.728,10.357,23.953,15.745,12.117,6.544
5.529,10.892,6.671,0.684,19.487,10.98,7.299,2.313
0.85,5.774,2.12,-5.356,15.66,7.802,3.117,-1.952
1.636,5.297,3.484,-3.892,15.754,8.163,2.877,-1.31
6.994,9.093,8.903,3.66,20.655,11.243,7.087,4.294
11.45,11.768,11.056,8.648,25.216,12.563,9.797,8.091
9.641,8.644,7.214,4.954,23.928,9.9,5.984,6.937
5.115,4.252,4.529,-1.641,19.857,6.931,0.573,2.544
3.012,2.36,3.778,-4.912,16.385,2.954,-1.801,-5
2.663,1.247,0.724,-4.578,12.546,-4.027,-3.019,-12.724
4.15,2.101,0.03,-1.532,11.578,-7.167,-1.742,-11.622
10.41,8.953,8.401,5.314,19.285,0.476,6.842,2.744
15.05,15.014,16.829,10.462,26.919,8.612,14.884,13.629
10.782,11.717,14.439,5.608,23.151,6.191,12.14,6.569
7.463,8.616,12.226,0.775,17.221,3.423,7.72,-2.317
12.229,13.411,19.28,6.101,17.939,7.62,10.297,-0.975
17.394,18.778,26.056,12.932,20.366,12.164,14.369,2.357
17.709,19.095,25.165,14.245,20.433,12.903,15.548,3.192
14.809,15.798,19.43,11.783,19.121,11.576,14.794,4.001
12.248,12.583,14.602,8.834,18.434,11.284,13.715,5.817
13.497,12.733,14.976,8.699,19.933,14.586,13.224,8.442
16.774,14.399,18.048,9.814,21.593,18.461,10.851,8.889
15.667,11.293,15.892,6.997,18.465,15.251,3.877,5.124
9.045,3.117,8.994,-0.572,11.571,6.649,-4.2,1.787
3.963,-2.034,7.412,-6.863,8.547,3.333,-6.461,5.438
3.04,-2.549,10.213,-7.923,8.312,4.162,-4.591,8.327
0.83,-5.237,7.441,-6.736,3.239,-0.808,-6.434,-1.674
-2.755,-9.101,1.787,-5.192,-1.203,-6.405,-8.999,-8.768
-2.618,-8.002,2.028,-2.712,2.739,-3.279,-5.873,-0.255
-2.375,-6.047,4.133,-1.279,6.833,0.476,-3.062,5.37
-8.304,-10.516,-1.207,-4.559,2.676,-4.876,-6.532,-1.256
