Timestamp,Type,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
1771506946.9751544,RAW,271029.40625,269771.4375,333292.15625,302952.59375,285051.28125,269723.15625,246363.703125,282972.5625
1771506946.9751544,RAW,270662.28125,269404.96875,332823.84375,302532.65625,284662.71875,269354.09375,246027.71875,282586.6875
1771506946.9751544,RAW,270309.59375,269055.125,332375.71875,302133.09375,284295.53125,269008.0,245706.75,282226.28125
1771506946.9751544,RAW,269973.6875,268720.90625,331947.28125,301747.75,283939.59375,268670.75,245398.734375,281869.46875
1771506946.9751544,RAW,269651.5625,268396.90625,331537.625,301375.5625,283594.375,268343.78125,245104.140625,281525.25
1771506946.9751544,RAW,269344.4375,268088.34375,331143.0,301018.375,283263.03125,268030.96875,244819.828125,281196.65625
1771506946.9751544,RAW,269060.3125,267802.0,330775.71875,300681.75,282957.0,267744.5,244554.46875,280893.21875
1771506946.9751544,RAW,268776.0,267519.90625,330414.9375,300355.59375,282662.21875,267465.375,244297.421875,280605.25
1771506947.0138927,RAW,268496.40625,267242.21875,330058.21875,300042.78125,282371.3125,267187.3125,244048.0625,280316.5625
1771506947.0138927,RAW,268241.0625,266984.90625,329729.90625,299748.96875,282098.53125,266929.375,243816.140625,280042.25
1771506947.0138927,RAW,267995.8125,266741.15625,329417.0,299465.75,281841.28125,266684.125,243596.125,279785.84375
1771506947.0138927,RAW,267737.96875,266484.9375,329087.34375,299175.4375,281573.4375,266425.28125,243363.484375,279523.6875
1771506947.0138927,RAW,267520.53125,266265.53125,328802.5,298915.53125,281343.75,266208.03125,243162.671875,279304.09375
1771506947.0138927,RAW,267318.03125,266054.625,328533.8125,298673.6875,281120.6875,265997.75,242971.4375,279081.75
1771506947.0138927,RAW,267114.96875,265849.4375,328269.1875,298435.3125,280904.5,265793.625,242788.140625,278867.1875
1771506947.0138927,RAW,266915.4375,265644.59375,328004.28125,298201.53125,280687.0625,265588.96875,242604.5,278655.90625
1771506947.0138927,RAW,266730.4375,265457.28125,327759.1875,297982.28125,280485.71875,265400.25,242429.890625,278454.75
1771506947.0138927,RAW,266542.15625,265264.34375,327513.6875,297760.21875,280286.5,265212.9375,242254.5625,278263.0625
1771506947.0638258,RAW,266366.375,265084.8125,327283.28125,297552.53125,280098.65625,265033.40625,242091.671875,278072.34375
1771506947.0638258,RAW,266199.1875,264916.375,327068.53125,297357.4375,279921.90625,264865.0625,241937.625,277892.8125
1771506947.0638258,RAW,266042.53125,264763.59375,326867.8125,297173.53125,279758.8125,264711.90625,241796.09375,277724.71875
1771506947.0638258,RAW,265882.6875,264606.75,326659.0625,296989.6875,279594.5,264560.8125,241654.015625,277566.03125
1771506947.0638258,RAW,265736.25,264469.875,326468.78125,296826.8125,279448.125,264426.6875,241528.578125,277422.625
1771506947.0638258,RAW,265602.21875,264343.0,326290.6875,296672.9375,279307.0625,264297.15625,241412.359375,277280.375
1771506947.0638258,RAW,265457.46875,264207.5625,326107.40625,296508.0625,279158.8125,264156.15625,241285.125,277131.78125
1771506947.0638258,RAW,265322.625,264083.5625,325938.59375,296355.34375,279031.40625,264030.1875,241168.8125,276998.3125
1771506947.0638258,RAW,265201.84375,263959.09375,325775.71875,296208.09375,278900.875,263912.78125,241054.453125,276869.8125
1771506947.0638258,RAW,265084.46875,263836.6875,325615.125,296066.03125,278775.25,263795.5625,240945.640625,276751.34375
1771506947.0638258,RAW,264968.84375,263715.625,325460.0,295930.75,278652.25,263677.90625,240838.1875,276629.59375
1771506947.0638258,RAW,264863.8125,263609.25,325313.65625,295804.15625,278535.28125,263569.90625,240739.296875,276511.9375
1771506947.0638258,RAW,264754.8125,263501.5,325167.65625,295675.3125,278422.5625,263462.34375,240644.078125,276407.84375
1771506947.1021214,RAW,264655.5,263397.875,325035.78125,295551.5,278314.1875,263363.5625,240546.0,276299.84375
1771506947.1021214,RAW,264568.3125,263307.0625,324911.9375,295441.15625,278216.375,263272.34375,240457.03125,276198.8125
1771506947.1021214,RAW,264482.65625,263228.28125,324794.46875,295344.15625,278130.46875,263188.9375,240387.21875,276119.6875
1771506947.1021214,RAW,264396.65625,263146.46875,324680.21875,295240.8125,278034.96875,263097.5625,240304.78125,276014.90625
1771506947.1021214,RAW,264315.46875,263065.375,324571.9375,295139.78125,277946.28125,263013.25,240231.015625,275923.71875
1771506947.1021214,RAW,264232.5,262982.21875,324459.0,295041.25,277858.5625,262928.78125,240157.078125,275835.1875
1771506947.1021214,RAW,264162.84375,262910.25,324358.78125,294955.25,277782.03125,262856.625,240089.3125,275756.0
1771506947.1021214,RAW,264087.9375,262834.4375,324257.03125,294866.5625,277705.6875,262783.40625,240026.359375,275682.9375
1771506947.1451595,RAW,264007.46875,262753.96875,324150.28125,294773.21875,277620.5625,262702.5625,239954.578125,275598.0
1771506947.1451595,RAW,263948.46875,262695.25,324063.46875,294698.1875,277556.8125,262644.53125,239902.0,275536.3125
1771506947.1451595,RAW,263885.4375,262631.03125,323974.59375,294617.28125,277491.1875,262583.75,239843.890625,275472.46875
1771506947.1451595,RAW,263815.96875,262559.4375,323877.5,294533.6875,277419.75,262515.25,239779.6875,275403.09375
1771506947.1451595,RAW,263757.3125,262500.59375,323795.96875,294460.46875,277359.9375,262459.1875,239728.375,275345.6875
1771506947.1451595,RAW,263701.78125,262449.09375,323724.1875,294391.4375,277303.71875,262409.75,239680.984375,275288.21875
1771506947.1451595,RAW,263640.96875,262391.875,323639.25,294317.15625,277241.21875,262348.875,239627.609375,275221.4375
1771506947.1451595,RAW,263591.28125,262342.96875,323559.75,294254.28125,277191.3125,262298.28125,239583.625,275171.28125
1771506947.1451595,RAW,263538.78125,262292.375,323486.4375,294190.8125,277142.5,262250.78125,239537.578125,275128.8125
1771506947.1451595,RAW,263491.21875,262244.71875,323418.40625,294129.65625,277092.875,262205.5625,239492.515625,275076.59375
1771506947.1451595,RAW,263446.25,262198.59375,323348.5625,294070.75,277040.125,262156.03125,239448.265625,275012.21875
1771506947.1451595,RAW,263405.3125,262156.84375,323287.15625,294014.15625,276997.6875,262116.328125,239412.046875,274973.3125
1771506947.187642,RAW,263356.40625,262108.453125,323220.625,293955.3125,276951.71875,262069.921875,239368.78125,274928.71875
1771506947.187642,RAW,263312.3125,262064.296875,323156.8125,293901.9375,276909.875,262028.703125,239329.796875,274890.34375
1771506947.187642,RAW,263270.84375,262021.734375,323098.40625,293850.0,276867.5,261989.375,239292.953125,274852.1875
1771506947.187642,RAW,263230.53125,261984.265625,323042.71875,293798.40625,276825.75,261948.15625,239258.71875,274807.46875
1771506947.187642,RAW,263195.46875,261955.84375,322992.75,293756.03125,276790.6875,261913.28125,239230.828125,274770.28125
1771506947.187642,RAW,263163.09375,261927.5,322942.65625,293714.53125,276756.09375,261881.71875,239200.25,274737.71875
1771506947.187642,RAW,263128.875,261892.453125,322884.28125,293672.34375,276716.21875,261839.34375,239164.03125,274698.21875
1771506947.2331562,RAW,263099.1875,261865.984375,322840.3125,293636.75,276688.59375,261815.03125,239139.8125,274675.59375
1771506947.2331562,RAW,263071.375,261837.828125,322797.03125,293596.0,276658.09375,261790.078125,239114.59375,274652.25
1771506947.2331562,RAW,263049.90625,261803.671875,322747.75,293553.875,276606.96875,261740.546875,239080.96875,274577.875
1771506947.2331562,RAW,263018.71875,261770.59375,322699.40625,293512.46875,276570.75,261703.09375,239049.953125,274541.9375
1771506947.2331562,RAW,262990.625,261741.890625,322652.28125,293475.75,276546.25,261679.65625,239023.578125,274528.4375
1771506947.2331562,RAW,262966.59375,261714.0,322609.90625,293441.84375,276521.03125,261654.09375,239001.671875,274506.0
1771506947.2331562,RAW,262934.9375,261681.546875,322563.59375,293402.0625,276486.625,261622.4375,238973.515625,274476.84375
1771506947.2331562,RAW,262910.625,261656.328125,322523.4375,293366.125,276455.25,261591.78125,238948.65625,274439.90625
1771506947.2331562,RAW,262899.71875,261643.90625,322497.34375,293344.21875,276439.9375,261579.609375,238934.34375,274420.96875
1771506947.2331562,RAW,262878.78125,261621.640625,322459.78125,293313.5625,276419.46875,261563.25,238913.25,274404.59375
1771506947.2331562,RAW,262853.5,261597.140625,322419.375,293279.84375,276393.375,261537.0625,238889.28125,274379.125
1771506947.2331562,RAW,262829.78125,261575.234375,322386.5625,293246.3125,276370.21875,261515.78125,238870.421875,274358.1875
1771506947.2331562,RAW,262810.3125,261560.84375,322361.15625,293217.53125,276356.34375,261504.96875,238857.8125,274340.84375
1771506947.2331562,RAW,262784.375,261536.703125,322322.53125,293183.65625,276335.4375,261485.03125,238837.4375,274321.71875
1771506947.2331562,RAW,262766.9375,261516.578125,322287.40625,293161.75,276318.8125,261471.703125,238822.671875,274310.71875
1771506947.2913797,RAW,262756.3125,261501.390625,322255.5,293143.6875,276300.5625,261452.296875,238809.53125,274287.46875
1771506947.2913797,RAW,262742.71875,261484.390625,322226.6875,293119.4375,276279.90625,261433.609375,238794.875,274265.84375
1771506947.2913797,RAW,262726.34375,261465.53125,322194.15625,293096.03125,276259.875,261413.765625,238780.484375,274246.625
1771506947.2913797,RAW,262712.84375,261449.625,322165.28125,293075.46875,276244.5,261398.03125,238765.546875,274229.375
1771506947.2913797,RAW,262703.0,261437.28125,322138.0,293055.6875,276228.15625,261380.6875,238749.984375,274208.96875
1771506947.2913797,RAW,262694.53125,261422.53125,322110.46875,293036.375,276210.625,261363.34375,238736.21875,274191.90625
1771506947.2913797,RAW,262676.625,261400.71875,322078.625,293008.21875,276190.15625,261343.84375,238720.125,274177.15625
1771506947.2913797,RAW,262660.625,261387.390625,322051.1875,292985.53125,276173.53125,261327.84375,238705.828125,274155.875
1771506947.2913797,RAW,262653.03125,261376.75,322025.71875,292970.59375,276159.5625,261313.453125,238695.09375,274142.46875
1771506947.2913797,RAW,262648.3125,261364.59375,322004.6875,292955.03125,276148.03125,261303.625,238683.921875,274138.0
1771506947.2913797,RAW,262645.53125,261357.265625,321983.0625,292941.53125,276139.53125,261295.921875,238677.390625,274129.59375
1771506947.2913797,RAW,262637.65625,261349.484375,321959.90625,292921.78125,276126.84375,261283.765625,238667.375,274110.375
1771506947.2913797,RAW,262621.125,261331.328125,321931.5625,292896.5625,276104.125,261260.25,238648.515625,274083.1875
1771506947.2913797,RAW,262608.78125,261313.1875,321900.53125,292877.5,276085.90625,261241.75,238632.234375,274068.4375
1771506947.3277962,RAW,262621.3125,261324.625,321901.15625,292884.125,276097.15625,261254.4375,238641.890625,274079.25
1771506947.3277962,RAW,262599.84375,261299.5,321866.5625,292851.84375,276071.9375,261232.984375,238617.578125,274059.59375
1771506947.3277962,RAW,262574.34375,261267.40625,321827.9375,292818.40625,276036.5625,261197.765625,238588.703125,274022.84375
1771506947.3277962,RAW,262558.0,261251.9375,321799.6875,292797.21875,276020.28125,261181.3125,238574.84375,274009.78125
1771506947.3277962,RAW,262553.78125,261248.8125,321784.84375,292783.8125,276017.78125,261182.734375,238568.765625,274014.25
1771506947.3277962,RAW,262545.65625,261235.9375,321762.6875,292765.03125,276003.28125,261170.84375,238554.1875,273999.6875
1771506947.3277962,RAW,262527.40625,261213.859375,321730.9375,292741.09375,275982.0,261149.65625,238533.265625,273973.5625
1771506947.3277962,RAW,262524.75,261213.765625,321721.28125,292738.65625,275983.96875,261151.796875,238540.15625,273976.34375
1771506947.3277962,RAW,262505.25,261200.265625,321692.84375,292721.3125,275972.53125,261137.140625,238532.28125,273964.09375
1771506947.365254,RAW,262495.5,261193.296875,321674.25,292704.875,275965.28125,261128.640625,238523.96875,273949.96875
1771506947.365254,RAW,262483.0625,261184.265625,321652.71875,292689.65625,275959.46875,261122.921875,238516.8125,273947.375
1771506947.365254,RAW,262478.15625,261177.203125,321633.65625,292683.9375,275954.5625,261115.5,238515.828125,273944.15625
1771506947.365254,RAW,262476.625,261176.75,321623.8125,292677.15625,275953.21875,261112.28125,238519.59375,273943.71875
1771506947.365254,RAW,262469.84375,261178.265625,321612.1875,292666.25,275954.125,261111.84375,238522.453125,273945.125
1771506947.365254,RAW,262470.375,261179.515625,321605.0625,292660.6875,275953.9375,261113.359375,238520.390625,273944.4375
1771506947.365254,RAW,262469.5625,261180.6875,321593.78125,292655.6875,275952.9375,261112.734375,238517.0,273946.03125
1771506947.365254,RAW,262463.21875,261178.453125,321578.59375,292646.125,275947.3125,261107.453125,238510.828125,273937.09375
1771506947.365254,RAW,262452.5,261169.234375,321557.65625,292633.0,275933.5625,261094.40625,238502.15625,273918.84375
1771506947.365254,RAW,262443.28125,261160.65625,321535.75,292620.28125,275920.5,261080.453125,238493.484375,273900.0625
1771506947.3903692,RAW,262444.1875,261160.5625,321525.46875,292616.1875,275917.375,261079.828125,238489.546875,273892.125
1771506947.3903692,RAW,262412.96875,261129.0,321486.5,292583.09375,275889.21875,261053.28125,238459.953125,273865.3125
1771506947.3903692,RAW,262403.15625,261121.046875,321475.6875,292565.125,275884.375,261051.125,238455.21875,273862.875
1771506947.3903692,RAW,262394.375,261113.09375,321464.40625,292552.15625,275878.9375,261044.609375,238454.953125,273856.96875
1771506947.3903692,RAW,262377.125,261094.859375,321447.5,292534.625,275872.3125,261039.859375,238447.890625,273856.09375
1771506947.3903692,RAW,262372.65625,261085.109375,321432.5,292526.59375,275867.375,261031.546875,238443.59375,273849.125
1771506947.4350574,RAW,262358.8125,261074.203125,321407.90625,292511.84375,275855.3125,261015.546875,238433.125,273843.40625
1771506947.4350574,RAW,262346.8125,261070.359375,321389.65625,292495.3125,275847.09375,261007.234375,238423.921875,273839.1875
1771506947.4350574,RAW,262342.78125,261071.703125,321381.8125,292481.34375,275844.78125,261005.984375,238423.203125,273837.21875
1771506947.4350574,RAW,262339.84375,261070.0,321368.03125,292467.9375,275839.21875,261002.5,238420.078125,273831.5
1771506947.4350574,RAW,262338.875,261067.84375,321354.34375,292464.625,275837.4375,261000.796875,238419.0,273830.34375
1771506947.4350574,RAW,262343.59375,261070.09375,321346.84375,292464.375,275840.9375,261004.8125,238420.609375,273832.03125
1771506947.4350574,RAW,262339.03125,261064.453125,321336.75,292450.0625,275834.03125,261003.203125,238412.484375,273826.3125
1771506947.4350574,RAW,262334.75,261063.015625,321326.8125,292440.9375,275830.65625,261000.171875,238409.625,273820.3125
